new_facility;name;region;unit_size;capacity;new_facility_order;amOrderValues_popTravelTime15min;amOrderComputed;amTravelTimeMax;amPopTravelTimeMax;amPopOrigTravelTimeMax;amCorrPopTime;amTravelTimeCatchment;amPopCatchmentTotal;amCapacityRealised;amCapacityResidual;amPopCatchmentDiff;amPopTotal;amPopTotalNotOnBarrier;amPopTotalOnBarrier;amPopResidualBefore;amPopResidualAfter;Segment;LONGITUDE2;LATITUDE3
FALSE;BOLVADİN KEMERKAYA A.S.M.;AFYONKARAHISAR;1;2500;;1065;84;15;1065;1065;-0.473;15;1065;1065;1435;0;673223;673052;171;307260;306195;Existing;31,061911;38,889408
FALSE;BOLVADİN 2 NOLU A.S.M.;AFYONKARAHISAR;4;10000;;8712;31;15;5701;8712;0.89;15;5701;5701;4299;0;673223;673052;171;455212;449511;Existing;31,045266;38,7162
FALSE;BOLVADİN 4 NOLU A.S.M.;AFYONKARAHISAR;2;5000;;8833;30;15;8833;8833;0.991;12;5870;5000;0;870;673223;673052;171;460212;455212;Existing;31,049969;38,707953
FALSE;ÇAY 2 NOLU A.S.M.;AFYONKARAHISAR;3;7500;;8706;32;15;8706;8706;0.584;13;7577;7500;0;77;673223;673052;171;449511;442011;Existing;31,02501;38,592616
FALSE;DİNAR 2 NOLU A.S.M.;AFYONKARAHISAR;2;5000;;10533;26;15;10533;10533;0.729;9;5307;5000;0;307;673223;673052;171;475147;470147;Existing;30,162103;38,066569
FALSE;DİNAR 3 NOLU A.S.M.;AFYONKARAHISAR;3;7500;;6956;41;15;4249;6956;0.637;15;4249;4249;3251;0;673223;673052;171;414615;410366;Existing;30,14887446;38,06178947
FALSE;EMİRDAĞ GÖMÜ A.S.M.;AFYONKARAHISAR;1;2500;;1991;67;15;1991;1991;0.122;15;1991;1991;509;0;673223;673052;171;333344;331354;Existing;31,083552;39,056506
FALSE;EMİRDAĞ 1 NOLU A.S.M.;AFYONKARAHISAR;3;7500;;9128;28;15;3198;9128;0.962;15;3198;3198;4302;0;673223;673052;171;465435;462237;Existing;31,154719;39,025305
FALSE;EMİRDAĞ 2 NOLU A.S.M.;AFYONKARAHISAR;2;5000;;11208;24;15;11208;11208;0.941;10;5878;5000;0;878;673223;673052;171;483809;478809;Existing;31,158992;39,020913
FALSE;EMİRDAĞ 3 NOLU A.S.M.;AFYONKARAHISAR;2;5000;;9689;27;15;4712;9689;0.959;15;4712;4712;288;0;673223;673052;171;470147;465435;Existing;31,160272;39,01721
FALSE;EMİRDAĞ DAVULGA A.S.M.;AFYONKARAHISAR;1;2500;;1847;71;15;1847;1847;-0.132;15;1847;1847;653;0;673223;673052;171;325554;323707;Existing;31,369055;38,982338
FALSE;İHSANİYE DÖĞER A.S.M.;AFYONKARAHISAR;2;5000;;4356;47;15;4356;4356;-0.063;15;4356;4356;644;0;673223;673052;171;392813;388457;Existing;30,390497;39,124855
FALSE;İHSANİYE GAZLIGÖL A.S.M.;AFYONKARAHISAR;2;5000;;5298;45;15;5298;5298;0.659;15;5298;5000;0;298;673223;673052;171;402448;397448;Existing;30,5;38,936944
FALSE;İSCEHİSAR SEYDİLER A.S.M.;AFYONKARAHISAR;1;2500;;1414;76;15;1414;1414;-0.006;15;1414;1414;1086;0;673223;673052;171;317011;315596;Existing;30,833049;38,888916
FALSE;İSCEHİSAR 3 NOLU A.S.M.;AFYONKARAHISAR;2;5000;;7558;37;15;7558;7558;0.965;12;5134;5000;0;134;673223;673052;171;428338;423338;Existing;30,759169;38,861381
FALSE;İSCEHİSAR 1 NOLU A.S.M.;AFYONKARAHISAR;2;5000;;7017;39;15;4645;7017;0.58;15;4645;4645;355;0;673223;673052;171;421347;416702;Existing;30,745275;38,858608
FALSE;MERKEZ ANITKAYA A.S.M.;AFYONKARAHISAR;1;2500;;2038;66;15;2038;2038;-0.516;15;2038;2038;462;0;673223;673052;171;335382;333344;Existing;30,342855;38,954653
FALSE;MERKEZ ÇIKRIK A.S.M.;AFYONKARAHISAR;1;2500;;1052;85;15;1052;1052;-0.612;14;1052;1052;1448;0;673223;673052;171;306195;305143;Existing;30,6077;38,873141
FALSE;MERKEZ ÇAYIRBAĞ A.S.M.;AFYONKARAHISAR;2;5000;;3699;52;15;3699;3699;-0.007;15;3699;3699;1301;0;673223;673052;171;374390;370690;Existing;30,528735;38,853586
FALSE;MERKEZ FETHİBEY A.S.M.;AFYONKARAHISAR;1;2500;;1777;73;15;1777;1777;-0.625;15;1777;1777;723;0;673223;673052;171;321884;320107;Existing;30,499644;38,851464
FALSE;MERKEZ BEYYAZI A.S.M.;AFYONKARAHISAR;1;2500;;1156;82;15;1156;1156;-0.523;15;1156;1156;1344;0;673223;673052;171;309512;308356;Existing;30,590469;38,834483
FALSE;MERKEZ ERENLER A.S.M.;AFYONKARAHISAR;2;5000;;13754;20;15;13754;13754;0.534;7;5109;5000;0;109;673223;673052;171;507097;502097;Existing;30,538191;38,821444
FALSE;MERKEZ SUSUZ A.S.M.;AFYONKARAHISAR;2;5000;;3168;57;15;3168;3168;-0.271;15;3168;3168;1832;0;673223;673052;171;358476;355308;Existing;30,612447;38,806631
FALSE;MERKEZ 15 NOLU A.S.M.;AFYONKARAHISAR;2;5000;;11582;23;15;11582;11582;0.957;10;5519;5000;0;519;673223;673052;171;488809;483809;Existing;30,50196025;38,78130071
FALSE;MERKEZ 5 NOLU A.S.M.;AFYONKARAHISAR;6;15000;;24277;13;15;12297;24277;0.907;15;12297;12297;2703;0;673223;673052;171;548160;535862;Existing;30,541225;38,775791
FALSE;MERKEZ GEBECELER A.S.M.;AFYONKARAHISAR;1;2500;;4352;48;15;4352;4352;0.728;10;2642;2500;0;142;673223;673052;171;388457;385957;Existing;30,742347;38,773224
FALSE;MERKEZ 10 NOLU A.S.M.;AFYONKARAHISAR;4;10000;;29537;5;15;27042;29537;0.943;9;11280;10000;0;1280;673223;673052;171;632725;622725;Existing;30,537836;38,771522
FALSE;MERKEZ 9 NOLU A.S.M.;AFYONKARAHISAR;6;15000;;26999;8;15;14413;26999;0.798;15;14413;14413;587;0;673223;673052;171;615225;600812;Existing;30,531491;38,765714
FALSE;MERKEZ ERKMEN A.S.M.;AFYONKARAHISAR;1;2500;;1210;80;15;1210;1210;-0.507;15;1210;1210;1290;0;673223;673052;171;311909;310699;Existing;30,486308;38,762031
FALSE;MERKEZ 13 NOLU KARAMAN A.S.M.;AFYONKARAHISAR;3;7500;;35499;1;15;35499;35499;0.969;7;9148;7500;0;1648;673223;673052;171;673052;665552;Existing;30,54035;38,760369
FALSE;MERKEZ 7 NOLU A.S.M.;AFYONKARAHISAR;7;17500;;24619;12;15;19464;24619;0.899;14;17670;17500;0;170;673223;673052;171;565660;548160;Existing;30,577083;38,759325
FALSE;MERKEZ 2 NOLU A.S.M.;AFYONKARAHISAR;7;17500;;34029;2;15;26529;34029;0.992;13;19850;17500;0;2350;673223;673052;171;665552;648052;Existing;30,542772;38,756614
FALSE;MERKEZ 3 NOLU A.S.M.;AFYONKARAHISAR;5;12500;;32159;3;15;20550;32159;0.974;12;14344;12500;0;1844;673223;673052;171;648052;635552;Existing;30,552797;38,749305
FALSE;MERKEZ 8 NOLU A.S.M.;AFYONKARAHISAR;6;15000;;25981;10;15;21704;25981;0.875;12;16220;15000;0;1220;673223;673052;171;590812;575812;Existing;30,570552;38,748608
FALSE;MERKEZ CEZAEVİ A.S.M.;AFYONKARAHISAR;1;2500;;27538;6;15;24198;27538;0.95;4;2666;2500;0;166;673223;673052;171;622725;620225;Existing;30,559261;38,736708
FALSE;MERKEZ KAMPÜS CEZAEVİ A.S.M.;AFYONKARAHISAR;2;5000;;27538;7;15;21698;27538;0.918;8;6483;5000;0;1483;673223;673052;171;620225;615225;Existing;30,55947538;38,73651299
FALSE;MERKEZ 4 NOLU A.S.M.;AFYONKARAHISAR;4;10000;;26533;9;15;19233;26533;0.984;11;11104;10000;0;1104;673223;673052;171;600812;590812;Existing;30,559233;38,731022
FALSE;MERKEZ 16 NOLU A.S.M.;AFYONKARAHISAR;5;12500;;25543;11;15;10152;25543;0.918;15;10152;10152;2348;0;673223;673052;171;575812;565660;Existing;30,56210266;38,72763422
FALSE;MERKEZ SÜLÜMENLİ A.S.M.;AFYONKARAHISAR;2;5000;;3609;53;15;3609;3609;0.636;15;3609;3609;1391;0;673223;673052;171;370690;367081;Existing;30,722155;38,715136
FALSE;MERKEZ SÜLÜN A.S.M.;AFYONKARAHISAR;1;2500;;1370;77;15;1189;1370;-0.27;15;1189;1189;1311;0;673223;673052;171;315596;314407;Existing;30,573088;38,697947
FALSE;MERKEZ BÜYÜKKALECİK A.S.M.;AFYONKARAHISAR;1;2500;;1283;78;15;1283;1283;-0.52;15;1283;1283;1217;0;673223;673052;171;314407;313124;Existing;30,500675;38,690947
